ticker,rows,labels,return_extremes,volume_extremes,gap_extremes,preds,threshold,max_score,tp,fp,fn,return_std,volume_std,gap_std
AKAM,502,9,7,8,7,6,0.0006031625850908494,0.0020033408711183,6,0,3,0.01730410821318901,1.1009880938764591,0.009512992677836823
AVGO,502,14,9,8,5,6,0.0010790728223218965,0.0087267909761673,4,2,10,0.027327212513621704,1.1588508545098906,0.016807883011122814
BLDR,502,20,7,6,11,5,0.0021963716909187783,0.0081964122805705,4,1,16,0.026981553829305057,1.164112473781545,0.014872872514529479
LEN,502,22,5,11,12,6,0.00027802022102056716,0.0035956505220383,4,2,18,0.018423304448875855,1.096693720189186,0.012045881195775541
