ticker,event_date,event_score,ticker_q95,ticker_q99,first_rise_date_rule_10pct_or_q95,first_rise_relative,first_rise_score,first_q99_date,first_q99_relative,first_q99_score,score_t_minus_3,score_t_minus_2,score_t_minus_1,score_t
AKAM,2023-02-15,0.0970078997554317,0.00015620982588485994,0.013449747370774303,2023-02-15,t,0.0970078997554317,2023-02-15,t,0.0970078997554317,3.112605138864767e-05,1.669116591074271e-05,2.7109278319888597e-05,0.0970078997554317
AKAM,2024-02-14,0.0761403412868579,0.00015620982588485994,0.013449747370774303,2024-02-13,t-1,0.0001586371545727,2024-02-14,t,0.0761403412868579,3.018546140841257e-05,2.017472381794505e-05,0.0001586371545727,0.0761403412868579
AKAM,2024-11-08,0.0838061538007524,0.00015620982588485994,0.013449747370774303,2024-11-06,t-2,0.000337502590762,2024-11-08,t,0.0838061538007524,2.7977084522344507e-05,0.000337502590762,5.066569330567192e-05,0.0838061538007524
CVS,2023-06-14,0.1243234577683324,0.00020290645848526994,0.01711040846077581,2023-06-14,t,0.1243234577683324,2023-06-14,t,0.1243234577683324,0.0001068927413143,8.122832650769851e-05,2.735820550393934e-05,0.1243234577683324
CVS,2023-08-17,0.0965635017181436,0.00020290645848526994,0.01711040846077581,2023-08-17,t,0.0965635017181436,2023-08-17,t,0.0965635017181436,4.0467071479118506e-05,6.301165103650419e-05,7.768258698585366e-05,0.0965635017181436
CVS,2024-05-01,1.2222119987010955,0.00020290645848526994,0.01711040846077581,2024-04-22,t-7,0.0002080841810008,2024-05-01,t,1.2222119987010955,0.0001596314674316,0.0001971683320637,7.030116517701875e-05,1.2222119987010955
EL,2023-05-03,5.536741177241008,0.0003621544318729898,0.004797391655965462,2023-04-25,t-6,0.0003936276119323,2023-05-03,t,5.536741177241008,0.0001026437673014,0.0003308474247508,4.491074375134e-05,5.536741177241008
EL,2024-10-31,8.527950809115456,0.0003621544318729898,0.004797391655965462,2024-10-24,t-5,0.0003641618052225,2024-10-31,t,8.527950809115456,0.0001244569445488,0.0001719925786677,0.0001363565432595,8.527950809115456
TGT,2023-11-15,0.6601563056310018,0.000186946864722165,0.01732020728132302,2023-11-14,t-1,0.0001870099814065,2023-11-15,t,0.6601563056310018,6.681303117754094e-05,8.944720957515528e-05,0.0001870099814065,0.6601563056310018
TGT,2024-08-21,0.6354969069361687,0.000186946864722165,0.01732020728132302,2024-08-21,t,0.6354969069361687,2024-08-21,t,0.6354969069361687,5.143178414073191e-05,3.238833931694292e-05,3.008370257854646e-05,0.6354969069361687
TGT,2024-11-20,8.081961154937744,0.000186946864722165,0.01732020728132302,2024-11-20,t,8.081961154937744,2024-11-20,t,8.081961154937744,5.964945810246131e-05,5.262794129521353e-05,9.375619503834028e-05,8.081961154937744
