seed,threshold,point_tp,point_fp,point_fn,point_tn,true_events,pred_events,missed_events,fp_events,event_recall,event_precision,event_f1,auc_pr,f1
0,0.0015159095603688145,427,176,240,53982,652,574,223,145,0.6579754601126078,0.7473867595688608,0.6998368628717909,0.6906170449959582,0.6724409448818898
1,0.0026753122810163144,375,148,292,54010,652,515,270,132,0.5858895705431612,0.7436893203739089,0.6554252872557912,0.629925635312304,0.6302521008403361
2,0.0028087306597129407,454,193,213,53965,652,641,197,186,0.6978527607254931,0.7098283931246516,0.7037896314937294,0.7057298084918918,0.6910197869101978
