seed,ticker,start,end,days,peak_date,max_score,threshold,score_ratio
0,AAPL,2024-09-20,2024-09-20,1,2024-09-20,0.0274117448344137,0.0015159095603688145,18.082704635588247
0,KO,2023-12-15,2023-12-15,1,2023-12-15,0.0250419144659645,0.0015159095603688145,16.51939872974474
0,RCL,2023-02-07,2023-02-07,1,2023-02-07,0.0227419230341911,0.0015159095603688145,15.00216347250827
0,APTV,2024-08-01,2024-08-02,2,2024-08-01,0.0224257855132843,0.0015159095603688145,14.793617046539506
0,FDX,2024-12-20,2024-12-20,1,2024-12-20,0.0215731574488537,0.0015159095603688145,14.231163924848552
0,CSCO,2024-05-16,2024-05-16,1,2024-05-16,0.0215559916260341,0.0015159095603688145,14.219840147185044
0,MO,2023-03-17,2023-03-17,1,2023-03-17,0.0162747969335704,0.0015159095603688145,10.735994652353012
0,KO,2023-05-31,2023-05-31,1,2023-05-31,0.0150850080807382,0.0015159095603688145,9.951126686652785
0,LMT,2023-03-17,2023-03-17,1,2023-03-17,0.0130426222548032,0.0015159095603688145,8.603826109276588
0,DE,2023-05-19,2023-05-19,1,2023-05-19,0.0128699585368546,0.0015159095603688145,8.489925041256019
0,MRK,2023-11-30,2023-11-30,1,2023-11-30,0.0128452278712453,0.0015159095603688145,8.473610964047294
0,CVX,2024-12-20,2024-12-20,1,2024-12-20,0.012282387619572,0.0015159095603688145,8.10232215738764
0,INTC,2023-01-27,2023-01-27,1,2023-01-27,0.0118822268882973,0.0015159095603688145,7.838348143543869
0,LMT,2023-07-18,2023-07-18,1,2023-07-18,0.0117385719183706,0.0015159095603688145,7.743583275188695
0,ALGN,2023-04-27,2023-04-27,1,2023-04-27,0.0114000984030099,0.0015159095603688145,7.520302464637999
0,DE,2023-11-22,2023-11-22,1,2023-11-22,0.0113981321939112,0.0015159095603688145,7.519005415559278
0,MU,2023-03-29,2023-03-29,1,2023-03-29,0.0111787073314189,0.0015159095603688145,7.374257425158772
0,LIN,2024-03-15,2024-03-15,1,2024-03-15,0.0108251709044755,0.0015159095603688145,7.141040064317413
0,CRM,2023-08-31,2023-08-31,1,2023-08-31,0.0106770559277113,0.0015159095603688145,7.043333063427357
0,MRK,2024-03-15,2024-03-15,1,2024-03-15,0.0102859916437106,0.0015159095603688145,6.785359702598657
0,IBM,2023-03-17,2023-03-17,1,2023-03-17,0.0098894700909463,0.0015159095603688145,6.523786345499552
0,TGT,2023-08-16,2023-08-16,1,2023-08-16,0.0096496144852911,0.0015159095603688145,6.36556080756123
0,C,2023-07-14,2023-07-14,1,2023-07-14,0.0094514215908323,0.0015159095603688145,6.23481890867738
0,BMY,2024-03-15,2024-03-15,1,2024-03-15,0.0092113033620989,0.0015159095603688145,6.076420126183404
0,MU,2023-09-28,2023-09-28,1,2023-09-28,0.0091706992971012,0.0015159095603688145,6.049634844225145
0,RTX,2024-03-15,2024-03-15,1,2024-03-15,0.0087061120382713,0.0015159095603688145,5.743160585485811
0,MGM,2024-05-02,2024-05-02,1,2024-05-02,0.008653476348627,0.0015159095603688145,5.708438402170672
0,ALB,2024-09-11,2024-09-11,1,2024-09-11,0.0083094819371278,0.0015159095603688145,5.481515622281673
0,NVDA,2024-08-05,2024-08-05,1,2024-08-05,0.0083083940514673,0.0015159095603688145,5.480797976790846
0,BLK,2023-09-15,2023-09-15,1,2023-09-15,0.0081815423327498,0.0015159095603688145,5.397117708499223
0,MO,2023-09-15,2023-09-15,1,2023-09-15,0.0081724654825544,0.0015159095603688145,5.391129983088221
0,TSLA,2023-01-03,2023-01-03,1,2023-01-03,0.0080407932400703,0.0015159095603688145,5.304269760073291
0,ROST,2024-08-23,2024-08-23,1,2024-08-23,0.0076486647323084,0.0015159095603688145,5.045594362797944
0,AAPL,2024-12-20,2024-12-20,1,2024-12-20,0.0071943901878382,0.0015159095603688145,4.745923091934214
0,DIS,2023-02-09,2023-02-09,1,2023-02-09,0.0067097141786857,0.0015159095603688145,4.426196888060561
0,KO,2023-09-15,2023-09-15,1,2023-09-15,0.0066459156925399,0.0015159095603688145,4.384110943216808
0,ALGN,2024-02-01,2024-02-01,1,2024-02-01,0.0063030603322355,0.0015159095603688145,4.157939561184634
0,AXP,2023-07-21,2023-07-21,1,2023-07-21,0.0062519269549132,0.0015159095603688145,4.124208408179794
0,ALL,2024-03-15,2024-03-15,1,2024-03-15,0.0062331876484677,0.0015159095603688145,4.111846650634746
0,ALGN,2023-12-14,2023-12-14,1,2023-12-14,0.0062161999503283,0.0015159095603688145,4.100640376472014
0,AVGO,2024-09-06,2024-09-06,1,2024-09-06,0.0060526088724145,0.0015159095603688145,3.992724256545968
0,BLDR,2023-12-14,2023-12-15,2,2023-12-15,0.0059188548766542,0.0015159095603688145,3.9044907634292954
0,CLX,2024-10-31,2024-10-31,1,2024-10-31,0.0058653742363232,0.0015159095603688145,3.8692111915279295
0,TSLA,2024-07-24,2024-07-24,1,2024-07-24,0.0058623043218782,0.0015159095603688145,3.867186061186873
0,EMR,2023-08-02,2023-08-02,1,2023-08-02,0.0056770205652962,0.0015159095603688145,3.744959932777919
0,GE,2023-03-09,2023-03-09,1,2023-03-09,0.005605852540137,0.0015159095603688145,3.6980125244233695
0,META,2024-08-01,2024-08-01,1,2024-08-01,0.0055892769596539,0.0015159095603688145,3.687078111898742
0,CCL,2023-06-26,2023-06-26,1,2023-06-26,0.0053456399880815,0.0015159095603688145,3.526358120454711
0,ABBV,2023-03-17,2023-03-17,1,2023-03-17,0.0053088890913036,0.0015159095603688145,3.5021146578242894
0,TSLA,2024-08-05,2024-08-05,1,2024-08-05,0.0050399809314209,0.0015159095603688145,3.324724022582649
0,V,2024-12-20,2024-12-20,1,2024-12-20,0.0048575139537985,0.0015159095603688145,3.2043560386390646
0,STZ,2024-04-11,2024-04-11,1,2024-04-11,0.0047653507058081,0.0015159095603688145,3.143558712466138
0,KO,2024-09-20,2024-09-20,1,2024-09-20,0.0047316730958603,0.0015159095603688145,3.121342604837919
0,CCL,2023-09-29,2023-09-29,1,2023-09-29,0.0047001601061007,0.0015159095603688145,3.1005544321240186
0,TSLA,2023-07-20,2023-07-20,1,2023-07-20,0.0045517549636618,0.0015159095603688145,3.0026560176547585
