case,ticker,date,score,threshold,score_ratio,label,kind,n_dims,log_return_1d,volume_z,gap
multi_dim_shock_high_score,NVDA,2023-05-25,10.215918080012004,0.0043652738820090815,2340.2696729100103,1,return+volume+gap,3,0.2180880457769838,5.341603361266078,0.2614776689991204
single_return_hit,WFC,2024-02-15,0.0484559996984899,0.006412614341909214,7.556356442926707,1,return,1,0.0698307260095777,2.9684299520005686,0.0041213718231079
single_volume_hit,ORCL,2023-06-12,0.1162027278915047,0.10074254566431057,1.153462294656617,1,volume,1,0.058174454749869,5.5522367165887,0.0408739032408835
single_gap_hit,ABNB,2024-05-09,0.0418639990404093,0.028197808285049916,1.4846543609775873,1,gap,1,-0.071189196854083,3.046888257511629,-0.0715642066437388
normal_low_score,DIS,2024-11-25,1.488019538555818e-06,0.0637252216779766,2.335055884270194e-05,0,none,0,0.0030218102593767,0.4394028864526929,0.0002594138435003
early_warning_prev_trading_day_before_multi_dim,NVDA,2023-05-24,1.0818890026105994e-05,0.0043652738820090815,0.00247839890887366,0,none,0,-0.0048999347768213,2.327249005420969,-0.0155761993539777
