ticker,rows,labels,return_extremes,volume_extremes,gap_extremes,preds,threshold,max_score,tp,fp,fn,return_std,volume_std,gap_std
AKAM,502,9,7,8,7,5,0.002960026212633966,0.0116413490225871,5,0,4,0.01730410821318901,1.1009880938764591,0.009512992677836823
AVGO,502,14,9,8,5,5,0.009840572937194888,0.054911997479697,4,1,10,0.027327212513621704,1.1588508545098906,0.016807883011122814
BLDR,502,20,7,6,11,5,0.004054592884113701,0.0080988257832359,4,1,16,0.026981553829305057,1.164112473781545,0.014872872514529479
LEN,502,22,5,11,12,5,0.0021909793033531074,0.0042552852925534,5,0,17,0.018423304448875855,1.096693720189186,0.012045881195775541
