metric,value
threshold,0.001143620638266277
precision,0.46846846846846846
recall,0.23388305847076463
f1,0.312
precision_at_k,0.3238380809595202
auc_pr,0.3182963196167185
auc_roc,0.9387088187137275
event_precision,0.4999999999840764
event_recall,0.24079754600857672
event_f1,0.32505175543977644
event_hit_rate,0.24079754600857672
