epoch,train_loss,vali_loss_series_phase,vali_loss_prior_phase
1,-59.43973714347423,-55.83639858387135,55.96438113554024
2,-55.26013445884405,-54.929300166942454,55.014164748015226
3,-54.90580956443332,-54.70814118561921,54.76176982455783
