ticker,rows,labels,return_extremes,volume_extremes,gap_extremes,preds,threshold,max_score,tp,fp,fn,return_std,volume_std,gap_std
ABNB,502,11,4,10,6,6,0.009498838421333675,0.4670584846494926,5,1,6,0.02405085169103703,1.1281936709867721,0.015455281965538307
AKAM,502,9,7,8,7,6,0.0012597960853291896,0.0924564076432337,4,2,5,0.01730410821318901,1.1009880938764591,0.009512992677836823
ALL,502,23,7,6,13,6,0.004812063016506175,0.3144513160312691,4,2,19,0.015100305303347232,1.0641183785169868,0.007693024301685178
AMD,502,14,9,3,8,6,0.005348470944329146,0.346036676565806,4,2,10,0.029814190408101824,1.1144889902860464,0.016160346771125354
APTV,502,11,7,7,6,6,0.0022612228462474348,0.2391678742065172,3,3,8,0.022838313258123834,1.1003799194659745,0.01532448258905353
AVGO,502,14,9,8,5,6,0.0036348197544708817,0.1318091115438922,4,2,10,0.027327212513621704,1.1588508545098906,0.016807883011122814
BAC,502,21,9,9,11,6,0.0018749394018169692,0.1457739227626007,5,1,16,0.015606433428249833,1.1443546629150319,0.009391794600941878
BLDR,502,20,7,6,11,6,0.009878512936719038,0.2220029811859906,5,1,15,0.026981553829305057,1.164112473781545,0.014872872514529479
CCL,502,16,3,8,8,6,0.011743054701927193,0.3405259236576967,4,2,12,0.028838849011328438,1.1206278324489871,0.01522305561987619
CSCO,502,20,8,11,7,6,0.0057099568192552404,0.0316512337619011,6,0,14,0.01216360136498144,1.0955455318815432,0.00870879282498405
CVS,502,13,8,5,9,6,0.006638821376788655,0.2475383818947496,5,1,8,0.019817495046276046,1.1366747295855657,0.01336235145811979
EMR,502,14,9,8,8,6,0.0052570870009681185,0.4622930688628306,6,0,8,0.015444964125167708,1.084444794516362,0.010368249692811646
INTC,502,13,6,4,10,6,0.0061140519972131815,0.519855840338601,4,2,9,0.029506833866785896,1.087692338996587,0.018718048371396748
JPM,502,22,10,9,11,6,0.002424389101131224,0.044703119641296,5,1,17,0.013887416916457286,1.12993410152383,0.00769016465723481
LEN,502,22,5,11,12,6,0.03290042115895367,0.0984339291850725,6,0,16,0.018423304448875855,1.096693720189186,0.012045881195775541
LLY,502,13,7,7,8,6,0.00799613497534033,0.5099924411083203,5,1,8,0.018403490961089394,1.095673111555997,0.013406078989285081
LMT,502,20,8,11,7,6,0.0025375494336885235,0.0347513928516911,6,0,14,0.011022808947978973,1.0911826792558985,0.00562608497651814
LNT,502,21,4,10,9,6,0.0020010198825014315,0.0242145999516474,4,2,17,0.011948801715546057,1.11843928891792,0.005873517218117607
MRK,502,21,6,9,11,6,0.003407761342219594,0.0381067002395866,5,1,16,0.012678451388677734,1.1525350953467188,0.006526724939870723
MU,502,10,4,8,5,5,0.004754333056647662,0.2469802468682852,2,3,8,0.02802857387722255,1.1387108767440879,0.020429875630462398
PHM,502,22,9,7,10,6,0.0065799325359114785,0.0263647139964935,4,2,18,0.019126095076413056,1.0781876718039853,0.011969516942212821
TMO,502,21,7,6,12,5,0.003543264893435055,0.0836111279825369,4,1,17,0.01348719565328771,1.1194730626013374,0.008995621822306772
TMUS,502,13,7,4,6,6,0.00784109512447831,0.3745027233768875,4,2,9,0.011414788994106178,1.1068706426816777,0.0064047054140625795
UNH,502,19,11,7,12,6,0.010550039185276607,0.2366222848908769,6,0,13,0.015433717223483339,1.148792753155117,0.010467666193369304
V,502,22,5,11,9,6,0.0031484559256407833,0.0583808674504432,4,2,18,0.010225863626820696,1.1062792201888116,0.006435380247390017
